id,recorded_at,scenario_id,simulation_time_s,junction_id,queue_length_m,vehicle_count,avg_speed_kmh,queue_minus_5,queue_minus_10,queue_minus_15,queue_minus_20,target_queue_60s,queue_slope
2173,2026-09-01 08:20:23.727850,corridor_camera,25.0,cluster_13546492148_1838721956,5.0,1,0.0,5.0,0.0,0.0,0.0,25.0,0.25
2176,2026-09-01 08:20:23.736228,corridor_camera,30.0,cluster_13546492148_1838721956,5.0,1,0.0,5.0,5.0,0.0,0.0,25.0,0.25
2179,2026-09-01 08:20:23.744416,corridor_camera,35.0,cluster_13546492148_1838721956,10.0,2,0.0,5.0,5.0,5.0,0.0,0.0,0.5
2182,2026-09-01 08:20:23.752471,corridor_camera,40.0,cluster_13546492148_1838721956,10.0,2,0.0,10.0,5.0,5.0,5.0,5.0,0.25
2185,2026-09-01 08:20:23.760583,corridor_camera,45.0,cluster_13546492148_1838721956,10.0,2,0.0,10.0,10.0,5.0,5.0,10.0,0.25
2188,2026-09-01 08:20:23.769062,corridor_camera,50.0,cluster_13546492148_1838721956,0.0,2,9.351503513772744,10.0,10.0,10.0,5.0,15.0,-0.25
2191,2026-09-01 08:20:23.778041,corridor_camera,55.0,cluster_13546492148_1838721956,10.0,2,0.00023644652368175388,0.0,10.0,10.0,10.0,15.0,0.0
2194,2026-09-01 08:20:23.787527,corridor_camera,60.0,cluster_13546492148_1838721956,15.0,3,0.07157172675316993,10.0,0.0,10.0,10.0,20.0,0.25
2197,2026-09-01 08:20:23.796640,corridor_camera,65.0,cluster_13546492148_1838721956,15.0,3,0.0,15.0,10.0,0.0,10.0,20.0,0.25
2200,2026-09-01 08:20:23.806383,corridor_camera,70.0,cluster_13546492148_1838721956,15.0,4,0.3554972830560125,15.0,15.0,10.0,0.0,25.0,0.75
2203,2026-09-01 08:20:23.815978,corridor_camera,75.0,cluster_13546492148_1838721956,20.0,4,0.0,15.0,15.0,15.0,10.0,25.0,0.5
2206,2026-09-01 08:20:23.825890,corridor_camera,80.0,cluster_13546492148_1838721956,20.0,5,2.742762041394539,20.0,15.0,15.0,15.0,0.0,0.25
2209,2026-09-01 08:20:23.837475,corridor_camera,85.0,cluster_13546492148_1838721956,25.0,5,0.013303570996377067,20.0,20.0,15.0,15.0,5.0,0.5
2212,2026-09-01 08:20:23.849186,corridor_camera,90.0,cluster_13546492148_1838721956,25.0,5,0.0,25.0,20.0,20.0,15.0,5.0,0.5
2215,2026-09-01 08:20:23.860693,corridor_camera,95.0,cluster_13546492148_1838721956,0.0,2,6.1705679888927065,25.0,25.0,20.0,20.0,10.0,-1.0
2218,2026-09-01 08:20:23.872120,corridor_camera,100.0,cluster_13546492148_1838721956,5.0,2,2.6467658461431736,0.0,25.0,25.0,20.0,20.0,-0.75
2221,2026-09-01 08:20:23.882844,corridor_camera,105.0,cluster_13546492148_1838721956,10.0,2,0.0,5.0,0.0,25.0,25.0,30.0,-0.75
2224,2026-09-01 08:20:23.894013,corridor_camera,110.0,cluster_13546492148_1838721956,15.0,3,0.045214598685837715,10.0,5.0,0.0,25.0,35.0,-0.5
2227,2026-09-01 08:20:23.904412,corridor_camera,115.0,cluster_13546492148_1838721956,15.0,3,0.0,15.0,10.0,5.0,0.0,40.0,0.75
2230,2026-09-01 08:20:23.914518,corridor_camera,120.0,cluster_13546492148_1838721956,20.0,4,0.019301519402724527,15.0,15.0,10.0,5.0,50.0,0.75
2233,2026-09-01 08:20:23.925673,corridor_camera,125.0,cluster_13546492148_1838721956,20.0,4,0.0,20.0,15.0,15.0,10.0,10.0,0.5
