sample_id,simulation_id,scenario_id,scenario_type,vehicle_mix,incident_flag,incident_start_s,incident_severity,signal_program,junction_id,approach_id,timestamp_s,queue_5m,queue_10m,program_id,phase_elapsed_s,is_all_red,platoon_distance_m,vehicle_count,halting_count,queue_length_m_lag_150s,mean_speed_mps_lag_150s,occupancy_pct_lag_150s,outflow_vehicles_30s_lag_150s,upstream_outflow_vehicles_30s_lag_150s,downstream_junction_queue_length_m_lag_150s,signal_phase_index_lag_150s,is_green_lag_150s,is_yellow_lag_150s,phase_remaining_s_lag_150s,platoon_eta_s_lag_150s,queue_length_m_lag_120s,mean_speed_mps_lag_120s,occupancy_pct_lag_120s,outflow_vehicles_30s_lag_120s,upstream_outflow_vehicles_30s_lag_120s,downstream_junction_queue_length_m_lag_120s,signal_phase_index_lag_120s,is_green_lag_120s,is_yellow_lag_120s,phase_remaining_s_lag_120s,platoon_eta_s_lag_120s,queue_length_m_lag_90s,mean_speed_mps_lag_90s,occupancy_pct_lag_90s,outflow_vehicles_30s_lag_90s,upstream_outflow_vehicles_30s_lag_90s,downstream_junction_queue_length_m_lag_90s,signal_phase_index_lag_90s,is_green_lag_90s,is_yellow_lag_90s,phase_remaining_s_lag_90s,platoon_eta_s_lag_90s,queue_length_m_lag_60s,mean_speed_mps_lag_60s,occupancy_pct_lag_60s,outflow_vehicles_30s_lag_60s,upstream_outflow_vehicles_30s_lag_60s,downstream_junction_queue_length_m_lag_60s,signal_phase_index_lag_60s,is_green_lag_60s,is_yellow_lag_60s,phase_remaining_s_lag_60s,platoon_eta_s_lag_60s,queue_length_m_lag_30s,mean_speed_mps_lag_30s,occupancy_pct_lag_30s,outflow_vehicles_30s_lag_30s,upstream_outflow_vehicles_30s_lag_30s,downstream_junction_queue_length_m_lag_30s,signal_phase_index_lag_30s,is_green_lag_30s,is_yellow_lag_30s,phase_remaining_s_lag_30s,platoon_eta_s_lag_30s,queue_length_m,mean_speed_mps,occupancy_pct,outflow_vehicles_30s,upstream_outflow_vehicles_30s,downstream_junction_queue_length_m,signal_phase_index,is_green,is_yellow,phase_remaining_s,platoon_eta_s,upstream_arrival_minus_local_outflow,queue_growth_150s,queue_growth_60s,speed_change_150s,occupancy_change_150s,downstream_queue_growth_150s,split
high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green_J1_SAN_SANGAM_30,high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green,seed1007_scale1_48,high_demand,default,0,0,0,surge_green,J1_SAN,SANGAM,30.0,26.4101,35.74,0,30.0,0,0.0,1,0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,train
high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green_J1_SAN_SANGAM_60,high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green,seed1007_scale1_48,high_demand,default,0,0,0,surge_green,J1_SAN,SANGAM,60.0,7.7852,32.8332,0,14.5,0,0.0,4,4,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,4.3,7.884,8.0818,16,0,25.6449,2,0,0,24.0,0.0,-16,4.3,4.3,0.4062,7.3756,15.1449,train
high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green_J1_SAN_SANGAM_90,high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green,seed1007_scale1_48,high_demand,default,0,0,0,surge_green,J1_SAN,SANGAM,90.0,35.1647,35.74,0,5.5,0,0.0,10,9,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,4.3,7.884,8.0818,16,0,25.6449,2,0,0,24.0,0.0,7.649,1.1413,30.5851,15,0,41.478,3,0,0,0.0,0.0,-15,7.649,7.649,-6.3365,29.8789,30.978,train
high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green_J1_SAN_SANGAM_120,high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green,seed1007_scale1_48,high_demand,default,0,0,0,surge_green,J1_SAN,SANGAM,120.0,35.74,35.74,0,29.5,0,0.0,3,0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,4.3,7.884,8.0818,16,0,25.6449,2,0,0,24.0,0.0,7.649,1.1413,30.5851,15,0,41.478,3,0,0,0.0,0.0,0.0,9.3903,6.2851,34,0,15.8099,0,1,0,24.0,0.0,-34,0.0,-4.3,1.9125,5.5789,5.3099,train
high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green_J1_SAN_SANGAM_150,high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green,seed1007_scale1_48,high_demand,default,0,0,0,surge_green,J1_SAN,SANGAM,150.0,35.74,35.74,0,5.5,0,0.0,3,0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,4.3,7.884,8.0818,16,0,25.6449,2,0,0,24.0,0.0,7.649,1.1413,30.5851,15,0,41.478,3,0,0,0.0,0.0,0.0,9.3903,6.2851,34,0,15.8099,0,1,0,24.0,0.0,0.0,11.9447,2.8413,15,0,17.2605,1,0,1,0.0,0.0,-15,0.0,-7.649,4.4669,2.1351,6.7605,train
high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green_J1_SAN_SANGAM_180,high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green,seed1007_scale1_48,high_demand,default,0,0,0,surge_green,J1_SAN,SANGAM,180.0,32.9393,29.431,0,29.5,0,0.0,14,12,0.0,7.4778,0.7062,1,0,10.5,0,1,0,9.0,0.0,4.3,7.884,8.0818,16,0,25.6449,2,0,0,24.0,0.0,7.649,1.1413,30.5851,15,0,41.478,3,0,0,0.0,0.0,0.0,9.3903,6.2851,34,0,15.8099,0,1,0,24.0,0.0,0.0,11.9447,2.8413,15,0,17.2605,1,0,1,0.0,0.0,8.6177,1.9266,35.8258,33,0,48.2818,2,0,0,9.0,0.0,-33,8.6177,8.6177,-5.5512,35.1196,37.7818,train
high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green_J1_SAN_SANGAM_210,high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green,seed1007_scale1_48,high_demand,default,0,0,0,surge_green,J1_SAN,SANGAM,210.0,35.74,35.74,0,14.5,0,0.0,18,18,4.3,7.884,8.0818,16,0,25.6449,2,0,0,24.0,0.0,7.649,1.1413,30.5851,15,0,41.478,3,0,0,0.0,0.0,0.0,9.3903,6.2851,34,0,15.8099,0,1,0,24.0,0.0,0.0,11.9447,2.8413,15,0,17.2605,1,0,1,0.0,0.0,8.6177,1.9266,35.8258,33,0,48.2818,2,0,0,9.0,0.0,35.74,0.8761,47.8974,39,0,48.1093,0,1,0,39.0,0.0,-39,31.44,35.74,-7.0079,39.8156,22.4644,train
high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green_J1_SAN_SANGAM_240,high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green,seed1007_scale1_48,high_demand,default,0,0,0,surge_green,J1_SAN,SANGAM,240.0,35.74,35.74,0,44.5,0,0.0,12,4,7.649,1.1413,30.5851,15,0,41.478,3,0,0,0.0,0.0,0.0,9.3903,6.2851,34,0,15.8099,0,1,0,24.0,0.0,0.0,11.9447,2.8413,15,0,17.2605,1,0,1,0.0,0.0,8.6177,1.9266,35.8258,33,0,48.2818,2,0,0,9.0,0.0,35.74,0.8761,47.8974,39,0,48.1093,0,1,0,39.0,0.0,8.2082,4.0482,21.693,38,0,26.8846,0,1,0,9.0,0.0,-38,0.5592,-0.4095,2.9069,-8.8921,-14.5934,train
high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green_J1_SAN_SANGAM_270,high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green,seed1007_scale1_48,high_demand,default,0,0,0,surge_green,J1_SAN,SANGAM,270.0,29.2068,35.74,0,14.5,0,0.0,11,9,0.0,9.3903,6.2851,34,0,15.8099,0,1,0,24.0,0.0,0.0,11.9447,2.8413,15,0,17.2605,1,0,1,0.0,0.0,8.6177,1.9266,35.8258,33,0,48.2818,2,0,0,9.0,0.0,35.74,0.8761,47.8974,39,0,48.1093,0,1,0,39.0,0.0,8.2082,4.0482,21.693,38,0,26.8846,0,1,0,9.0,0.0,12.3134,3.1127,27.7043,50,0,39.2111,2,0,0,24.0,0.0,-50,12.3134,-23.4266,-6.2776,21.4192,23.4012,train
high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green_J1_SAN_SANGAM_300,high_demand_baseline_seed1007_scale1.48_default_0_0_0_surge_green,seed1007_scale1_48,high_demand,default,0,0,0,surge_green,J1_SAN,SANGAM,300.0,35.74,35.6241,0,5.5,0,0.0,15,14,0.0,11.9447,2.8413,15,0,17.2605,1,0,1,0.0,0.0,8.6177,1.9266,35.8258,33,0,48.2818,2,0,0,9.0,0.0,35.74,0.8761,47.8974,39,0,48.1093,0,1,0,39.0,0.0,8.2082,4.0482,21.693,38,0,26.8846,0,1,0,9.0,0.0,12.3134,3.1127,27.7043,50,0,39.2111,2,0,0,24.0,0.0,35.74,0.3007,44.9572,57,0,48.7212,3,0,0,0.0,0.0,-57,35.74,27.5318,-11.644,42.1159,31.4607,train
