sample_id,simulation_id,scenario_id,junction_id,approach_id,timestamp_s,queue_5m,queue_10m,program_id,phase_elapsed_s,is_all_red,platoon_distance_m,vehicle_count,halting_count,queue_length_m_lag_150s,mean_speed_mps_lag_150s,occupancy_pct_lag_150s,outflow_vehicles_30s_lag_150s,upstream_outflow_vehicles_30s_lag_150s,downstream_junction_queue_length_m_lag_150s,signal_phase_index_lag_150s,is_green_lag_150s,is_yellow_lag_150s,phase_remaining_s_lag_150s,platoon_eta_s_lag_150s,queue_length_m_lag_120s,mean_speed_mps_lag_120s,occupancy_pct_lag_120s,outflow_vehicles_30s_lag_120s,upstream_outflow_vehicles_30s_lag_120s,downstream_junction_queue_length_m_lag_120s,signal_phase_index_lag_120s,is_green_lag_120s,is_yellow_lag_120s,phase_remaining_s_lag_120s,platoon_eta_s_lag_120s,queue_length_m_lag_90s,mean_speed_mps_lag_90s,occupancy_pct_lag_90s,outflow_vehicles_30s_lag_90s,upstream_outflow_vehicles_30s_lag_90s,downstream_junction_queue_length_m_lag_90s,signal_phase_index_lag_90s,is_green_lag_90s,is_yellow_lag_90s,phase_remaining_s_lag_90s,platoon_eta_s_lag_90s,queue_length_m_lag_60s,mean_speed_mps_lag_60s,occupancy_pct_lag_60s,outflow_vehicles_30s_lag_60s,upstream_outflow_vehicles_30s_lag_60s,downstream_junction_queue_length_m_lag_60s,signal_phase_index_lag_60s,is_green_lag_60s,is_yellow_lag_60s,phase_remaining_s_lag_60s,platoon_eta_s_lag_60s,queue_length_m_lag_30s,mean_speed_mps_lag_30s,occupancy_pct_lag_30s,outflow_vehicles_30s_lag_30s,upstream_outflow_vehicles_30s_lag_30s,downstream_junction_queue_length_m_lag_30s,signal_phase_index_lag_30s,is_green_lag_30s,is_yellow_lag_30s,phase_remaining_s_lag_30s,platoon_eta_s_lag_30s,queue_length_m,mean_speed_mps,occupancy_pct,outflow_vehicles_30s,upstream_outflow_vehicles_30s,downstream_junction_queue_length_m,signal_phase_index,is_green,is_yellow,phase_remaining_s,platoon_eta_s,upstream_arrival_minus_local_outflow,queue_growth_150s,queue_growth_60s,speed_change_150s,occupancy_change_150s,downstream_queue_growth_150s,split
corridor_baseline_seed42_scale0.65_J1_SAN_SANGAM_30,corridor_baseline_seed42_scale0.65,seed42_scale0_65,J1_SAN,SANGAM,30.0,8.1533,7.6471,0,0.0,0,0.0,1,0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,test
corridor_baseline_seed42_scale0.65_J1_SAN_SANGAM_60,corridor_baseline_seed42_scale0.65,seed42_scale0_65,J1_SAN,SANGAM,60.0,11.0877,7.6471,0,0.0,0,0.0,2,2,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,2.0,2.7771,3.9515,8,0,2.0,2,0,0,24.0,0.0,-8,2.0,2.0,0.4921,3.2105,2.0,test
corridor_baseline_seed42_scale0.65_J1_SAN_SANGAM_90,corridor_baseline_seed42_scale0.65,seed42_scale0_65,J1_SAN,SANGAM,90.0,26.9183,7.6471,0,0.0,0,0.0,5,5,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,2.0,2.7771,3.9515,8,0,2.0,2,0,0,24.0,0.0,4.3,1.3974,13.079,5,0,2.0,3,0,0,0.0,0.0,-5,4.3,4.3,-0.8876,12.338,2.0,test
corridor_baseline_seed42_scale0.65_J1_SAN_SANGAM_120,corridor_baseline_seed42_scale0.65,seed42_scale0_65,J1_SAN,SANGAM,120.0,7.649,7.6471,0,0.0,0,0.0,1,0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,2.0,2.7771,3.9515,8,0,2.0,2,0,0,24.0,0.0,4.3,1.3974,13.079,5,0,2.0,3,0,0,0.0,0.0,0.0,4.9328,0.3198,14,0,0.0,0,1,0,9.0,0.0,-14,0.0,-2.0,2.6478,-0.4212,0.0,test
corridor_baseline_seed42_scale0.65_J1_SAN_SANGAM_150,corridor_baseline_seed42_scale0.65,seed42_scale0_65,J1_SAN,SANGAM,150.0,7.649,0.0,0,0.0,0,0.0,4,3,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,2.0,2.7771,3.9515,8,0,2.0,2,0,0,24.0,0.0,4.3,1.3974,13.079,5,0,2.0,3,0,0,0.0,0.0,0.0,4.9328,0.3198,14,0,0.0,0,1,0,9.0,0.0,7.649,4.9111,8.5177,12,0,2.0,2,0,0,24.0,0.0,-12,7.649,3.349,2.6261,7.7767,2.0,test
corridor_baseline_seed42_scale0.65_J1_SAN_SANGAM_180,corridor_baseline_seed42_scale0.65,seed42_scale0_65,J1_SAN,SANGAM,180.0,7.649,0.0,0,0.0,0,0.0,12,9,0.0,2.285,0.741,1,0,0.0,0,1,0,9.0,0.0,2.0,2.7771,3.9515,8,0,2.0,2,0,0,24.0,0.0,4.3,1.3974,13.079,5,0,2.0,3,0,0,0.0,0.0,0.0,4.9328,0.3198,14,0,0.0,0,1,0,9.0,0.0,7.649,4.9111,8.5177,12,0,2.0,2,0,0,24.0,0.0,9.3225,1.3083,34.5401,17,0,17.7164,3,0,0,0.0,0.0,-17,9.3225,9.3225,-0.9767,33.7991,17.7164,test
corridor_baseline_seed42_scale0.65_J1_SAN_SANGAM_210,corridor_baseline_seed42_scale0.65,seed42_scale0_65,J1_SAN,SANGAM,210.0,7.649,0.0,0,0.0,0,0.0,7,0,2.0,2.7771,3.9515,8,0,2.0,2,0,0,24.0,0.0,4.3,1.3974,13.079,5,0,2.0,3,0,0,0.0,0.0,0.0,4.9328,0.3198,14,0,0.0,0,1,0,9.0,0.0,7.649,4.9111,8.5177,12,0,2.0,2,0,0,24.0,0.0,9.3225,1.3083,34.5401,17,0,17.7164,3,0,0,0.0,0.0,0.0,9.4845,6.679,38,0,0.0,0,1,0,9.0,0.0,-38,-2.0,-7.649,6.7074,2.7275,-2.0,test
corridor_baseline_seed42_scale0.65_J1_SAN_SANGAM_240,corridor_baseline_seed42_scale0.65,seed42_scale0_65,J1_SAN,SANGAM,240.0,8.0515,0.0,0,0.0,0,0.0,7,5,4.3,1.3974,13.079,5,0,2.0,3,0,0,0.0,0.0,0.0,4.9328,0.3198,14,0,0.0,0,1,0,9.0,0.0,7.649,4.9111,8.5177,12,0,2.0,2,0,0,24.0,0.0,9.3225,1.3083,34.5401,17,0,17.7164,3,0,0,0.0,0.0,0.0,9.4845,6.679,38,0,0.0,0,1,0,9.0,0.0,7.649,4.0873,12.8299,23,0,29.8695,2,0,0,24.0,0.0,-23,3.349,-1.6735,2.6899,-0.2491,27.8695,test
corridor_baseline_seed42_scale0.65_J1_SAN_SANGAM_270,corridor_baseline_seed42_scale0.65,seed42_scale0_65,J1_SAN,SANGAM,270.0,8.0529,0.0,0,0.0,0,0.0,17,16,0.0,4.9328,0.3198,14,0,0.0,0,1,0,9.0,0.0,7.649,4.9111,8.5177,12,0,2.0,2,0,0,24.0,0.0,9.3225,1.3083,34.5401,17,0,17.7164,3,0,0,0.0,0.0,0.0,9.4845,6.679,38,0,0.0,0,1,0,9.0,0.0,7.649,4.0873,12.8299,23,0,29.8695,2,0,0,24.0,0.0,25.5662,0.8038,42.7547,30,0,39.8018,3,0,0,0.0,0.0,-30,25.5662,25.5662,-4.129,42.4349,39.8018,test
corridor_baseline_seed42_scale0.65_J1_SAN_SANGAM_300,corridor_baseline_seed42_scale0.65,seed42_scale0_65,J1_SAN,SANGAM,300.0,7.649,0.0,0,0.0,0,0.0,17,14,7.649,4.9111,8.5177,12,0,2.0,2,0,0,24.0,0.0,9.3225,1.3083,34.5401,17,0,17.7164,3,0,0,0.0,0.0,0.0,9.4845,6.679,38,0,0.0,0,1,0,9.0,0.0,7.649,4.0873,12.8299,23,0,29.8695,2,0,0,24.0,0.0,25.5662,0.8038,42.7547,30,0,39.8018,3,0,0,0.0,0.0,32.1914,2.9914,23.6067,33,0,9.3825,0,1,0,9.0,0.0,-33,24.5424,24.5424,-1.9197,15.089,7.3825,test
