simulation_id,mode,seed,demand_scale,time_s,scenario_stage,approach,vehicle_count,halting_count,mean_speed_mps,occupancy_pct,queue_length_m,signal_phase_index,is_green,phase_remaining_s,time_since_last_green_s,downstream_vehicle_count,downstream_mean_speed_mps,downstream_occupancy_pct,outflow_vehicles_5s,network_running_vehicles,controller_active,queue_growth_60s_m,speed_change_60s_mps,occupancy_change_60s_pct,halting_change_60s,future_max_queue_90s_m,future_max_halting_90s,severe_congestion_next_90s
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,5.0,normal,A,0,0,0.0,0.0,0.0,0,1,34.0,0.0,0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,10.0,normal,A,0,0,0.0,0.0,0.0,0,1,29.0,0.0,0,0.0,0.0,0,2,0,0.0,0.0,0.0,0,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,15.0,normal,A,0,0,0.0,0.0,0.0,0,1,24.0,0.0,0,0.0,0.0,0,3,0,0.0,0.0,0.0,0,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,20.0,normal,A,1,0,16.5232,0.7994,0.0,0,1,19.0,0.0,0,0.0,0.0,0,4,0,0.0,16.5232,0.7994,0,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,25.0,normal,A,0,0,0.0,0.0,0.0,0,1,14.0,0.0,1,15.6576,0.0058,1,4,0,0.0,0.0,0.0,0,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,30.0,normal,A,0,0,0.0,0.0,0.0,0,1,9.0,0.0,0,0.0,0.0,0,5,0,0.0,0.0,0.0,0,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,35.0,normal,A,0,0,0.0,0.0,0.0,0,1,4.0,0.0,0,0.0,0.0,0,6,0,0.0,0.0,0.0,0,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,40.0,normal,A,0,0,0.0,0.0,0.0,1,0,5.0,5.0,1,16.4102,0.0058,1,7,0,0.0,0.0,0.0,0,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,45.0,normal,A,1,0,15.8599,0.7994,0.0,1,0,0.0,10.0,0,0.0,0.0,0,7,0,0.0,15.8599,0.7994,0,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,50.0,normal,A,1,1,0.0045,3.3031,2.0,2,0,34.0,15.0,1,11.2142,0.0124,0,9,0,2.0,0.0045,3.3031,1,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,55.0,normal,A,1,1,0.0,3.3031,2.0,2,0,29.0,20.0,3,15.181,0.0263,3,9,0,2.0,0.0,3.3031,1,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,60.0,normal,A,2,1,5.4512,4.5068,2.0,2,0,24.0,25.0,0,0.0,0.0,0,9,0,2.0,5.4512,4.5068,1,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,65.0,normal,A,2,1,1.9763,5.8826,2.0,2,0,19.0,30.0,0,0.0,0.0,0,11,0,2.0,1.9763,5.8826,1,7.649,4,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,70.0,normal,A,3,2,4.2014,16.735,7.649,2,0,14.0,35.0,1,15.5945,0.0058,1,11,0,7.649,4.2014,16.735,2,7.649,6,0
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,75.0,normal,A,3,3,0.0238,19.2386,7.649,2,0,9.0,40.0,0,0.0,0.0,0,10,0,7.649,0.0238,19.2386,3,10.4596,9,1
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,80.0,normal,A,3,3,0.0,19.2386,7.649,2,0,4.0,45.0,0,0.0,0.0,0,11,0,7.649,-16.5232,18.4392,3,10.5144,10,1
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,85.0,normal,A,4,3,0.383,22.5417,7.649,3,0,5.0,50.0,1,16.4858,0.0058,1,11,0,7.649,0.383,22.5417,3,13.249,11,1
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,90.0,normal,A,4,4,0.0,22.5417,7.649,3,0,0.0,55.0,0,0.0,0.0,0,10,0,7.649,0.0,22.5417,4,14.2501,12,1
sancheti_baseline_seed42_scale0.65,baseline,42,0.65,95.0,normal,A,1,0,15.7926,3.3031,0.0,0,1,34.0,0.0,3,11.0887,0.0173,0,9,0,0.0,15.7926,3.3031,0,14.2501,12,1
